T,X,Y,Z
1630768398146841952,-28616,14348,-4268
1630768398179355599,-20470,10478,-2726
1630768398212160455,-14144,5728,-3380
1630768398244610727,-11076,-2384,-628
1630768398277522749,-6600,-336,-1224
1630768398310245730,-3100,5192,728
1630768398343313669,-1108,-3948,3910
1630768398376779608,-7574,-4024,-3352
1630768398410048089,-17252,-3234,-31160
1630768398443462945,-24430,558,-31632
1630768398477195260,-23800,-6330,-9382
1630768398510299324,-11082,-2518,-9730
1630768398543695555,-10376,1840,-5474
1630768398577378537,-30160,3576,2244
1630768398610283684,-10714,4870,6588
1630768398643320915,-17208,5924,6134
1630768398676684187,-29084,-16608,2924
1630768398709416251,-21930,-17008,-6522
1630768398743398608,-8652,-11074,-9236
1630768398777697298,-4246,-4690,-7006
1630768398810643153,-4698,1644,-2000
1630768398844789010,-11430,-2520,-3502
1630768398878007866,-14818,-9538,-2372
1630768398910982138,-19382,44,-7552
1630768398944246619,-21826,990,-5786
1630768398977531600,-20768,-2578,-4188
1630768399010709248,-20512,-13488,-12784
1630768399043283645,-16312,-18064,-4430
1630768399076621584,-17902,-13814,1804
1630768399110002399,-18242,-27144,-532
1630768399142885754,-32762,-8644,-730
1630768399176265360,-32768,8658,-4396
1630768399209489008,-22840,3688,-7662
1630768399242420614,-7042,840,-6
1630768399275956178,42,-5688,-24
1630768399309031617,2024,-1912,1800
1630768399343151266,-3418,158,1416
1630768399377617706,-11486,-506,-5508
1630768399410476186,-13714,-7588,-16638
1630768399445124168,-19028,-18170,-26772
1630768399482335985,-24292,-5760,-12318
1630768399515819800,-8938,-1528,-9958
1630768399549229031,-8962,-4486,-3890
1630768399582067011,-26250,-3592,4268
1630768399615350367,-14080,-3592,-2566
1630768399648699432,-14202,-16598,2172
1630768399681542329,-18636,-17752,2068
1630768399714480768,-16428,-4712,-5336
1630768399747359290,-7736,5502,-8802
1630768399780149854,-6852,1760,-7754
1630768399812894793,-10514,-240,834
1630768399845861691,-15680,-2266,3108
1630768399879078172,-17940,-16542,-582
1630768399912229736,-16162,-22858,-9072
1630768399945749300,-15224,-13772,-9650
1630768399978838031,-16546,-10898,-6232
1630768400011765470,-19246,-11558,-10170
1630768400044225784,-18412,-13762,-8964
1630768400077807223,-16822,-6318,-2546
1630768400111134163,-23658,-4324,4026
1630768400144669602,-31168,-922,4526
1630768400177633124,-32320,-548,-9712
1630768400210661397,-18102,-5566,-4062
1630768400243861503,-7414,-9394,-162
1630768400277418484,-6232,-1606,-1232
1630768400310284548,-602,-5208,4886
1630768400343009612,-5328,748,4874
1630768400375432551,-5130,3544,2524
1630768400407708406,-11382,4156,-20748
1630768400440664303,-26644,-3204,-15250
1630768400474375701,-30798,-13388,-16578
1630768400507272932,-13200,-10306,-9076
1630768400540289163,-17572,-1640,-9454
1630768400573107518,-26398,-9754,13204
1630768400606011624,-13848,2246,-8684
1630768400639245730,-11284,5302,10666
1630768400671963044,-13586,-4158,3810
1630768400705254025,-21168,-9028,-4764
1630768400738568256,-13936,-15766,-3052
1630768400772744237,-8338,-8872,-2072
1630768400807426428,-7300,904,-4380
1630768400840981284,-12102,3226,-876
1630768400874819182,-16500,-1512,-2790
1630768400908121621,-16494,-8480,-5412
1630768400941497727,-16582,-9390,-7196
1630768400974371791,-16518,-13976,-3156
1630768401007394813,-16258,-18342,-3638
1630768401040959003,-17836,-14012,-11112
1630768401074021150,-17790,-9952,-6526
1630768401107036006,-17792,-5002,-1956
1630768401140434362,-25248,-1398,3812
1630768401173620843,-32768,932,-9696
1630768401206604490,-29844,-1204,-7692
1630768401239716138,-16398,-8090,-3128
1630768401273359119,-7938,-8116,524
1630768401307117475,-5438,-3832,596
1630768401340160915,-4270,-292,3420
1630768401374468355,-3922,1084,2336
1630768401407507710,-5702,3132,-268
1630768401440431108,-8358,2352,-17160
1630768401478044133,-18840,-15946,-23492
1630768401511878698,-32768,-16620,-16822
1630768401545557179,-8954,-5262,-10310
1630768401578658118,-14310,-5194,890
1630768401615446768,-25074,3228,-2688
1630768401649364791,-7970,6828,11432
1630768401684285857,-16218,-1262,-658
1630768401718225046,-23052,-16538,-5562
1630768401751380486,-19426,-12224,-3482
1630768401784160425,-11036,-6822,-2996
1630768401817464281,-8290,-686,-3814
1630768401850744428,-8356,2442,-2774
1630768401883355659,-13226,-218,136
1630768401916103806,-14910,-7752,-3112
1630768401948644328,-16040,-12464,-9108
1630768401981390934,-17248,-13590,-4706
1630768402014298706,-16932,-13056,-3068
1630768402047046270,-18510,-11230,-13300
1630768402079824084,-19498,-11674,-7480
1630768402112617981,-17738,-8218,-3152
1630768402145358503,-20014,-5452,3624
1630768402178504068,-29926,-4526,-2842
1630768402211257298,-31400,-3582,-8748
1630768402243806487,-21476,-3732,-4940
1630768402276479592,-10742,-6138,208
1630768402309406490,-7686,-4018,1460
1630768402342754304,-4534,-1314,2928
1630768402375787160,-2338,276,3582
1630768402408655974,-2756,1826,1872
1630768402441506455,-7360,3414,-7530
1630768402474265102,-17050,888,-32768
1630768402507129124,-28384,-17820,-17830
1630768402539760813,-24184,-16390,-12704
1630768402573010336,-4166,-6522,-6732
1630768402605961400,-9456,-10632,-1834
1630768402638832630,-32068,5636,-13440
1630768402671990070,-12338,8240,14516
1630768402706615718,-11262,224,9488
1630768402740026491,-19046,-8236,-4612
1630768402773501347,-23090,-16688,-1034
1630768402806384578,-11442,-9096,-3290
1630768402839240850,-7384,-2594,-5206
1630768402871894789,-8858,2880,-2360
1630768402904771061,-13720,1008,-600
1630768402937647583,-16184,-8098,-3712
1630768402970498481,-16166,-10922,-9358
1630768403003532295,-16154,-11010,-6420
1630768403036666692,-16524,-14024,-2472
1630768403070522507,-17534,-15494,-12556
1630768403104465405,-19832,-9690,-8446
1630768403137419677,-17800,-6814,-3848
1630768403170056200,-19264,-3784,2658
1630768403203097222,-30764,-3970,-1838
1630768403235830744,-32768,330,-10978
1630768403268550308,-22880,-1032,-4118
1630768403301337955,-10756,-5684,-3472
1630768403333944769,-7308,-5574,774
1630768403368053626,-4638,-3922,2980
1630768403401182107,-2974,-432,3250
1630768403433862712,-3618,1600,1978
1630768403471027987,-6762,3176,-6054
1630768403505142761,-14668,1432,-32768
1630768403538682033,-32768,-14828,-17752
1630768403571937014,-29636,-10280,-14306
1630768403604697703,-4476,-5250,-5778
1630768403637751392,-16730,-3664,10532
1630768403670826873,-29894,-994,-112
1630768403703674812,-18264,2176,8660
1630768403737219835,-12626,-372,1640
1630768403770302399,-15956,-6544,-3298
1630768403803263296,-18958,-12474,-3462
1630768403836626152,-13932,-8624,-3546
1630768403869803592,-9786,-4042,-5038
1630768403902840447,-8350,1482,-3042
1630768403935664595,-13002,188,-792
1630768403968864534,-17484,-5952,-3752
1630768404001541931,-16916,-9330,-10224
1630768404034893704,-16622,-11012,-4500
1630768404067889476,-16272,-14634,-3278
1630768404100403998,-17020,-11876,-14090
1630768404132920979,-19080,-10392,-8206
1630768404165895751,-17696,-6668,-2454
1630768404199218315,-20050,-5176,3688
1630768404231891046,-32768,-4018,-7378
1630768404264851818,-29004,-410,-9650
1630768404299265508,-20940,-3956,-4114
1630768404332244531,-9260,-4180,-2
1630768404365562637,-4462,-4592,1554
1630768404400016535,-3554,-1734,3440
1630768404432961141,-3002,94,3190
1630768404465955330,-5910,2028,-2792
1630768404499822228,-8336,2788,-10388
1630768404532405750,-17754,-9814,-32768
1630768404565843439,-32768,-17916,-18992
1630768404598841337,-21354,-8180,-11046
1630768404631895193,-2116,1904,-4480
1630768404664799132,-24486,-6324,9576
1630768404699389280,-25362,1516,-14458
1630768404732733261,-14982,-504,14512
1630768404766046575,-13506,-2712,-3808
1630768404799597931,-19786,-9166,-3380
1630768404832639329,-18834,-10212,-2162
1630768404865596393,-11714,-5946,-3696
1630768404899050707,-8292,-1654,-4310
1630768404932501605,-9436,278,-2058
1630768404965599586,-13930,-1306,-1928
1630768404998837317,-15616,-9776,-9048
1630768405031598964,-15480,-10516,-9312
1630768405065149237,-16510,-12990,-3686
1630768405098233384,-16566,-12740,-8132
1630768405131788824,-19380,-11586,-12392
1630768405165324138,-19576,-8714,-6630
1630768405198977536,-18250,-6268,2454
1630768405232030350,-27138,-4078,3988
1630768405266154790,-31146,-476,-6910
1630768405300089730,-25602,-1638,-5430
1630768405333229669,-13090,-6408,-1784
1630768405367274775,-9110,-6588,-278
1630768405400861257,-5302,-2886,2258
1630768405434103112,-3616,-2068,4528
1630768405470909221,-5356,1094,674
1630768405507046620,-6716,2982,-3116
1630768405540281351,-12794,694,-32088
1630768405573984082,-31138,-3986,-15398
1630768405607332313,-21364,-14336,-17148
1630768405640617878,-9944,-3712,-7650
1630768405673580150,-12638,-1336,3680
1630768405706529381,-30644,-3990,12390
1630768405739797153,-19654,5860,-964
1630768405773513301,-8952,690,5588
1630768405808001866,-20938,-3618,-3412
1630768405841381764,-23254,-15696,-2054
1630768405875199912,-15868,-8032,-3198
1630768405909589477,-7440,-6028,-4636
1630768405942635208,-9562,2860,-3602
1630768405977074898,-12070,436,132
1630768406010507587,-16178,-3090,-5272
1630768406043609401,-16134,-9564,-10390
1630768406077499674,-17046,-13646,-5190
1630768406111590697,-15890,-15440,-4394
1630768406145142845,-19986,-14236,-11890
1630768406178114076,-19122,-9726,-8802
1630768406212100349,-18248,-4862,-62
1630768406245299372,-25678,-3976,4486
1630768406278156561,-32768,2666,-3288
1630768406311244833,-29904,-508,-4774
1630768406343960730,-15840,-4408,-3228
1630768406376727961,-8076,-6718,-772
1630768406409384191,-6248,-3636,382
1630768406442064089,-3918,-1778,2890
1630768406475123944,-2816,860,3262
1630768406508077800,-4024,2054,-620
1630768406541415156,-9192,3062,-23740
1630768406574457345,-26196,-4904,-32768
1630768406607624826,-32768,-11614,-17290
1630768406641000765,-12154,-10302,-6794
1630768406674362830,-1396,2400,4942
1630768406707536810,-20982,-2526,8540
1630768406741124000,-29242,-708,-4594
1630768406775258690,-12196,-2360,6046
1630768406807838462,-13416,-4110,-3702
1630768406840700943,-17842,-12380,-2382
1630768406874380507,-15648,-11296,-2320
1630768406908037488,-9808,-5826,-4198
1630768406940611094,-8852,1546,-4782
1630768406973517658,-11560,2174,-990
1630768407006994930,-15326,-1594,-1778
1630768407039579994,-15728,-9994,-6476
1630768407072902100,-16122,-10840,-6168
1630768407105948081,-16790,-12660,-4792
1630768407138776645,-16608,-13854,-5222
1630768407171679751,-20064,-12960,-11416
1630768407204283273,-18670,-9194,-8434
1630768407237450504,-18202,-4338,-410
1630768407270689359,-24246,-4154,5104
1630768407304159007,-31860,414,1432
1630768407337419071,-29612,-472,-6968
1630768407370659761,-16144,-4586,-3874
1630768407404100450,-7880,-7500,192
1630768407437634681,-5906,-4110,816
1630768407473979789,-4192,-832,4220
1630768407508121896,-3716,618,2868
1630768407541568418,-6728,2828,-5626
1630768407575817650,-9926,1950,-18400
1630768407609460923,-23426,-13040,-21138
1630768407642692820,-31102,-13990,-13648
1630768407676804927,-4222,-6080,-5534
1630768407709385199,404,1502,342
1630768407742299096,-27858,-5696,-4018
1630768407775415952,-26954,2506,-16334
1630768407808139016,-14100,-2850,11388
1630768407840868497,-12836,-3648,-2714
1630768407874137102,-17586,-11086,-2766
1630768407907078208,-17920,-11428,-2922
1630768407939770147,-10650,-8820,-5126
1630768407972470253,-8936,44,-4432
1630768408005912775,-10972,1482,-1572
1630768408039342173,-14950,-796,-2226
1630768408072059070,-15426,-9330,-4324
1630768408105082676,-14610,-9596,-7338
1630768408138329615,-15964,-11298,-3432
1630768408171247596,-16822,-13958,-3920
1630768408203995493,-19186,-10400,-14936
1630768408236884682,-18394,-9242,-7094
1630768408269821079,-17590,-6094,-2264
1630768408302685560,-20004,-4360,3402
