T,X,Y,Z
1629821451157584571,-9578,16696,5056
1629821451190552457,-22884,14444,4864
1629821451223993180,-20994,-962,1688
1629821451259277037,-16412,-3604,3252
1629821451292701009,-12136,-4078,2624
1629821451325866748,-10770,-5212,244
1629821451359997536,-9500,-5346,2914
1629821451392888666,-14504,-3920,2816
1629821451427759192,-17484,-5590,-684
1629821451462156131,-16998,-8418,-192
1629821451495381000,-16712,-13802,-5534
1629821451529016409,-17310,-15936,206
1629821451561844240,-15146,-23134,-3880
1629821451595357845,-16826,-8968,-602
1629821451628779233,-26008,6020,9172
1629821451662566240,-32768,8966,10652
1629821451696118848,-27218,6046,-14310
1629821451730560167,-16734,7478,-2272
1629821451763525887,-8642,5118,1624
1629821451796930856,-3120,1382,2446
1629821451830412417,-1966,6338,-574
1629821451863443726,-4048,7034,-4702
1629821451896775231,-6896,7550,-4674
1629821451929995683,-10330,1818,-5354
1629821451964074092,-17662,-28468,6440
1629821451997554360,-29634,-21190,-10462
1629821452031165219,-16450,-7890,-2864
1629821452064441504,-10160,-1724,7648
1629821452097758500,-15834,-5908,-10242
1629821452131185257,-32768,7074,6336
1629821452164599930,-24522,9812,-1164
1629821452197940345,-10886,10448,1792
1629821452231872900,-17784,8466,8042
1629821452265105139,-21054,2412,8538
1629821452298701162,-18116,-3936,2898
1629821452332544458,-11698,-6274,-2202
1629821452366172067,-8328,-5926,-1536
1629821452399656747,-8256,-5350,2498
1629821452433066335,-15230,-4696,5578
1629821452466142226,-17092,-2436,-5726
1629821452500907610,-16810,-2242,1294
1629821452534342701,-16884,-7334,3360
1629821452567752415,-16954,-10820,-1580
1629821452603337793,-18440,-19750,-2140
1629821452639621238,-14444,-17524,128
1629821452673874157,-18606,-4062,4188
1629821452708597328,-32768,2670,13432
1629821452742635477,-32768,6710,3192
1629821452777472451,-18872,8406,-5864
1629821452811666489,-9570,5594,462
1629821452845612545,-6836,1870,2718
1629821452878536671,-3986,3024,3156
1629821452911836583,-4828,8292,-962
1629821452945033443,-6890,8756,-1946
1629821452977749591,-12502,8196,-15598
1629821453011524046,-16476,-27810,-13094
1629821453045608942,-26990,-16156,-8116
1629821453078948976,-18298,-12220,10004
