T,X,Y,Z
1629807799999075129,4234,-72,22256
1629807800019294648,3948,-366,27782
1629807800038413248,2398,-536,31160
1629807800057756808,892,62,30054
1629807800076737325,62,374,22266
1629807800096295800,-124,-200,14168
1629807800116420527,-98,-672,8310
1629807800135375085,812,-1040,5524
1629807800154350227,1854,-1964,5876
1629807800173962995,2142,-2812,8910
1629807800193754346,2308,-2488,12016
1629807800213816697,1674,-1204,13578
1629807800233935840,334,316,13420
1629807800253648525,-542,1208,12744
1629807800272522417,-1074,1584,12156
1629807800292313435,-870,1034,12308
1629807800311752869,-156,660,12306
1629807800330802469,530,660,11458
1629807800349827194,1150,600,11106
1629807800369055628,1836,328,11096
1629807800388914271,2682,-500,11160
1629807800409438498,3274,-700,11356
1629807800428829932,3358,-916,11782
1629807800448457908,3052,-734,13128
1629807800473782097,2198,-686,15102
1629807800493897407,2080,-1116,16382
1629807800513229466,2406,-1840,16398
1629807800532702150,2618,-2176,16016
1629807800551704792,2618,-2286,16168
1629807800571064268,2194,-1930,15894
1629807800590915161,1694,-1484,15838
1629807800610174386,1428,-1328,15780
1629807800629620320,1126,-1398,14746
1629807800649129255,1334,-1344,13894
1629807800669190522,1238,-1092,14306
1629807800688737873,708,-1382,14824
1629807800708254516,842,-2682,13806
1629807800728698159,648,-4168,12826
1629807800748328802,160,-3366,17056
1629807800769519987,-4616,-1224,23696
1629807800789685589,-6596,556,26352
1629807800810740733,-6190,936,22202
1629807800830431125,-4928,-188,16508
1629807800849731476,-3620,-1530,13074
1629807800870449995,-3192,-1986,11724
1629807800890093929,-3588,-1796,12168
1629807800911016489,-3394,-1658,12910
1629807800930324090,-2594,-2288,13032
1629807800951607026,-1922,-3132,12798
1629807800971630085,-1778,-3540,12542
1629807800991962562,-1862,-3696,12302
1629807801011869496,-2506,-2992,13240
1629807801031078096,-3184,-2220,14554
1629807801051424446,-3500,-1486,15750
1629807801070731837,-3396,-1186,16408
1629807801091023854,-2716,-1270,16698
1629807801111669580,-1908,-1534,16294
1629807801132066222,-1086,-1634,14656
1629807801152485406,-454,-1688,14524
1629807801171798881,94,-1652,14524
1629807801190824147,672,-1794,14654
1629807801211473789,1304,-2060,15022
1629807801231823764,1648,-2436,15356
1629807801251886365,1738,-2486,14860
1629807801270860839,1640,-2450,14406
1629807801290692856,1300,-2080,14064
1629807801310687456,920,-1816,13562
1629807801330277056,872,-1630,12624
1629807801349917614,902,-1820,11610
1629807801369845797,1018,-1980,11386
1629807801390040189,1098,-1944,12090
1629807801409439205,970,-1534,12700
1629807801429493431,1060,-902,12556
1629807801448672863,1388,-178,11642
1629807801468094296,2002,242,10536
1629807801487366479,3218,694,9350
1629807801506546787,4354,1008,8480
1629807801526447596,5074,1610,10430
1629807801545729903,4556,2258,10430
1629807801564633086,3570,3094,16430
1629807801584045061,2738,4078,21370
1629807801602963868,2340,4506,22398
